lon,lat,name
8.7767894,48.5044718,Feuerwehr Baisingen
8.367802,48.8974857,Freiwillige Feuerwehr Malsch Abt. Sulzbach
14.7231004,51.4942996,Freiwillige Feuerwehr Weißkeißel
10.421569,53.4525147,Freiwillige Feuerwehr Hamwarde
8.221243,52.3468834,Freiwillige Feuerwehr Ostercappeln
8.7525121,53.2022089,Feuerwehr Scharmbeckstotel
11.1705353,49.2120585,Freiwillige Feuerwehr
9.4451359,50.6256673,Freiwillige Feuerwehr Wartenberg-Angersbach
11.878052,48.9223265,Freiwillige Feuerwehr Kelheim
11.255501,47.9430975,Freiwillige Feuerwehr Traubing
11.2800321,47.9120777,Feuerwehr Tutzing
11.3969653,48.9535745,Freiwillige Feuerwehr Kipfenberg
12.3432414,49.379489,Freiwillige Feuerwehr Schwarzhofen
10.7788035,52.3113497,Freiwillige Feuerwehr Boimstorf
12.3444371,49.4261646,Freiwillige Feuerwehr Pertolzhofen
12.3768399,49.421279,Freiwillige Feuerwehr Wagnern
10.2317576,49.7314645,Freiw. Feuerwehr Fröhstockheim
10.0845389,48.0399665,Feuerwehr
10.3762936,52.5893866,Freiwillige Feuerwehr Hohne
10.3802028,52.5992479,Freiwillige Feuerwehr Spechtshorn
7.1092016,51.5847924,Löschzug 16 Resse
7.1342609,51.5053796,Freiwillige Feuerwehr Gelsenkirchen Löschzug 18 (Ückendorf)
7.4347725,53.260009,Freiwillige Feuerwehr Nüttermoor
8.2623288,52.9456066,Freiwillige Feuerwehr Großenkneten
8.937402,53.0892729,Freiwillige Feuerwehr Oberneuland
7.4610146,50.398506,Freiwillige Feuwehr
8.5197435,52.6902681,Feuerwehr Rechtern
9.5527513,51.1824081,Freiwillige Feuerwehr Empfershausen
9.5922846,51.2085825,Freiwillige Feuerwehr Wattenbach
10.1295146,54.2432604,Freiwillige Feuerwehr Boksee
10.178571,49.4968114,Freiwillige Feuerwehr Langensteinach
10.5810372,49.1849403,Freiwillige Feuerwehr Großenried
9.5117479,51.0143921,Freiwillige Feuerwehr Lichtenhagen
10.7834881,52.2708886,Freiwillige Feuerwehr Königslutter - Ortsfeuerwehr Lauingen
8.0216803,52.2322973,Freiwillige Feuerwehr Sutthausen
9.1948902,52.9763138,Ortsfeuerwehr Langwedel
9.1808253,52.9875064,Ortsfeuerwehr Daverden
7.2415462,50.5296341,Freiwillige Feuerwehr Koisdorf
10.0477794,54.3405601,Freiwillige Feuerwehr Ottendorf
11.7207137,50.3756733,Feuerwehr Issigau
9.1657044,54.3663179,Freiwillige Feuerwehr Seeth
11.2341985,48.8805736,Freiwillige Feuerwehr Landershofen
8.9718911,51.2413337,Feuerwehr Alraft
13.2211689,51.4634856,Freiwillige Feuerwehr Mühlberg/Elbe
7.8303495,48.1625297,"Freiwillige Feuerwehr Teningen, Abteilung Heimbach"
9.7660809,52.2893539,Freiwillige Feuerwehr Harkenbleck
8.5681937,48.8586021,Freiwillige Feuerwehr Neuenbürg Abteilung Arnbach
8.4322568,51.3253167,Freiwillige Feuerwehr Bestwig Löschgruppe Andreasberg
9.9956985,48.5309021,Freiwillige Feuerwehr Holzkirch
8.8491318,47.728102,FF Rielasingen-Worblingen
10.9346813,50.1627822,Freiwillige Feuerwehr Rossach
10.8799503,50.1239297,Freiwillige Feuerwehr Kaltenbrunn
10.2416767,54.282036,Freiwillige Feuerwehr Raisdorf
11.005214,49.4108876,Freiwillige Feuerwehr Stein
8.6596588,48.8558735,Feuerwehr Pforzheim Abteilung Büchenbronn
